,INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP
26,30.0,91.0,1422.0,208.0,37.0,145.0,429.0,1011.0,89.0,40.0,,1422.0,145.0,429.0,1011.0,96.0,173.0
27,31.0,80.0,1448.0,237.0,27.0,147.0,566.0,1000.0,69.0,43.0,,1448.0,147.0,566.0,1000.0,140.0,186.0
28,32.0,81.0,1396.0,245.0,29.0,115.0,448.0,928.0,94.0,56.0,,1396.0,115.0,448.0,928.0,102.0,156.0
29,33.0,72.0,1306.0,202.0,20.0,88.0,416.0,882.0,160.0,101.0,,1306.0,88.0,416.0,882.0,134.0,172.0
30,34.0,71.0,1399.0,259.0,24.0,114.0,564.0,930.0,169.0,100.0,,1399.0,114.0,564.0,930.0,120.0,161.0
31,35.0,66.0,1468.0,251.0,23.0,169.0,566.0,1007.0,92.0,76.0,,2068.0,238.0,797.0,1419.0,107.0,155.0
32,36.0,87.0,1553.0,282.0,28.0,208.0,630.0,993.0,65.0,44.0,,1735.0,232.0,704.0,1109.0,106.0,134.0
33,37.0,70.0,1581.0,258.0,24.0,193.0,530.0,980.0,53.0,39.0,,1591.0,194.0,533.0,986.0,129.0,157.0
34,38.0,84.0,1531.0,279.0,25.0,161.0,617.0,953.0,126.0,72.0,,1531.0,161.0,617.0,953.0,126.0,140.0
35,39.0,85.0,1530.0,314.0,27.0,147.0,510.0,1028.0,93.0,45.0,,1530.0,147.0,510.0,1028.0,106.0,146.0
36,40.0,70.0,1404.0,248.0,22.0,158.0,511.0,1022.0,71.0,45.0,,1404.0,158.0,511.0,1022.0,106.0,156.0
37,41.0,82.0,1574.0,309.0,34.0,236.0,608.0,1024.0,93.0,52.0,47.0,1574.0,236.0,608.0,1024.0,134.0,184.0
38,42.0,75.0,1447.0,275.0,26.0,158.0,494.0,1001.0,116.0,52.0,77.0,1447.0,158.0,494.0,1001.0,103.0,142.0
39,43.0,99.0,1603.0,333.0,32.0,152.0,462.0,805.0,117.0,51.0,74.0,1603.0,152.0,462.0,805.0,87.0,151.0
40,44.0,77.0,1473.0,276.0,33.0,150.0,476.0,838.0,129.0,61.0,56.0,1473.0,150.0,476.0,838.0,105.0,138.0
41,45.0,92.0,1603.0,272.0,37.0,162.0,450.0,942.0,143.0,46.0,73.0,1603.0,162.0,450.0,942.0,90.0,126.0
42,46.0,95.0,1520.0,278.0,30.0,147.0,447.0,848.0,161.0,57.0,29.0,1520.0,147.0,447.0,848.0,87.0,139.0
43,48.0,65.0,1353.0,235.0,46.0,159.0,489.0,1239.0,73.0,38.0,,1353.0,159.0,489.0,1239.0,100.0,125.0
44,49.0,100.0,1566.0,289.0,46.0,216.0,588.0,1045.0,137.0,39.0,,1566.0,216.0,588.0,1045.0,104.0,129.0
45,50.0,85.0,1466.0,282.0,44.0,179.0,535.0,975.0,97.0,44.0,59.0,1466.0,179.0,535.0,975.0,107.0,138.0
46,51.0,92.0,1494.0,284.0,35.0,208.0,587.0,1052.0,71.0,38.0,57.0,1494.0,208.0,587.0,1052.0,84.0,148.0
47,52.0,98.0,1471.0,283.0,41.0,165.0,643.0,1016.0,92.0,46.0,50.0,1471.0,165.0,643.0,1016.0,89.0,116.0
48,53.0,84.0,1467.0,303.0,47.0,152.0,531.0,1006.0,76.0,38.0,45.0,1467.0,152.0,531.0,1006.0,107.0,132.0
49,54.0,51.0,1401.0,295.0,38.0,135.0,441.0,1022.0,53.0,32.0,35.0,1401.0,135.0,441.0,1022.0,139.0,144.0
50,55.0,77.0,1419.0,291.0,27.0,191.0,606.0,1094.0,67.0,26.0,55.0,1419.0,191.0,606.0,1094.0,94.0,159.0
51,56.0,76.0,1506.0,331.0,38.0,160.0,504.0,965.0,76.0,30.0,67.0,1506.0,160.0,504.0,965.0,104.0,172.0
52,57.0,38.0,1774.0,217.0,96.0,19.0,74.0,99.0,,,,4871.0,52.0,203.0,272.0,1252.0,88.0
53,58.0,90.0,1673.0,222.0,56.0,21.0,134.0,227.0,,,,3872.0,49.0,310.0,525.0,977.0,97.0
54,59.0,113.0,1890.0,246.0,100.0,11.0,176.0,327.0,,,,5103.0,30.0,475.0,883.0,780.0,97.0
55,61.0,104.0,1703.0,266.0,98.0,39.0,174.0,428.0,,,,3284.0,75.0,336.0,825.0,615.0,112.0
56,62.0,77.0,1502.0,258.0,79.0,39.0,203.0,426.0,,,,2897.0,75.0,392.0,822.0,710.0,104.0
57,64.0,87.0,1587.0,220.0,96.0,29.0,258.0,471.0,,,,3061.0,56.0,498.0,908.0,569.0,71.0
58,65.0,104.0,1670.0,345.0,142.0,56.0,203.0,699.0,,,,2761.0,93.0,336.0,1155.0,631.0,
59,66.0,107.0,1551.0,261.0,88.0,53.0,302.0,963.0,,,,2264.0,77.0,441.0,1405.0,546.0,
60,67.0,67.0,1323.0,208.0,77.0,32.0,275.0,755.0,,,,1914.0,46.0,398.0,1092.0,644.0,
61,68.0,78.0,1502.0,209.0,82.0,33.0,346.0,744.0,216.0,,,2080.0,46.0,479.0,1030.0,644.0,
62,69.0,82.0,1680.0,248.0,126.0,71.0,455.0,525.0,499.0,,,2249.0,95.0,609.0,703.0,699.0,
63,70.0,85.0,1430.0,202.0,108.0,68.0,341.0,633.0,354.0,,,1729.0,82.0,412.0,765.0,597.0,
64,71.0,105.0,1583.0,248.0,68.0,53.0,596.0,570.0,419.0,,,2003.0,67.0,754.0,721.0,523.0,
65,72.0,93.0,1486.0,213.0,76.0,38.0,646.0,627.0,347.0,,,1810.0,46.0,787.0,764.0,436.0,
66,73.0,102.0,1484.0,212.0,94.0,63.0,625.0,632.0,339.0,,,1742.0,74.0,734.0,742.0,420.0,
67,75.0,108.0,1705.0,224.0,63.0,82.0,705.0,367.0,305.0,,,2141.0,103.0,885.0,461.0,443.0,
68,76.0,102.0,2035.0,334.0,115.0,126.0,657.0,320.0,296.0,,,2498.0,155.0,806.0,393.0,509.0,
69,77.0,88.0,1693.0,244.0,70.0,67.0,618.0,292.0,246.0,,,2094.0,83.0,764.0,361.0,450.0,
70,78.0,92.0,1751.0,216.0,92.0,45.0,512.0,339.0,298.0,,,2165.0,56.0,633.0,419.0,455.0,
71,79.0,114.0,1932.0,282.0,102.0,55.0,519.0,322.0,286.0,,,2371.0,68.0,637.0,395.0,334.0,
72,80.0,111.0,1665.0,207.0,60.0,58.0,440.0,329.0,187.0,,,1810.0,63.0,478.0,358.0,325.0,
73,81.0,101.0,1617.0,190.0,96.0,42.0,459.0,287.0,197.0,,,1723.0,45.0,489.0,306.0,314.0,
74,82.0,77.0,1647.0,191.0,80.0,56.0,464.0,326.0,214.0,,,1933.0,66.0,545.0,383.0,318.0,101.0
75,84.0,86.0,1393.0,168.0,46.0,17.0,471.0,569.0,223.0,,,1647.0,20.0,557.0,673.0,279.0,106.0
76,85.0,68.0,1344.0,207.0,55.0,29.0,467.0,,187.0,,,1578.0,34.0,548.0,,412.0,104.0
77,86.0,58.0,1289.0,162.0,53.0,25.0,335.0,,151.0,,,1365.0,26.0,355.0,,358.0,96.0
78,87.0,54.0,1280.0,156.0,55.0,18.0,318.0,,139.0,,,1346.0,19.0,335.0,,327.0,94.0
79,88.0,53.0,1196.0,146.0,46.0,17.0,382.0,,100.0,,,1283.0,18.0,410.0,,362.0,109.0
80,89.0,63.0,1338.0,155.0,67.0,24.0,452.0,,129.0,,,1465.0,26.0,495.0,,273.0,140.0
81,90.0,66.0,1292.0,144.0,45.0,18.0,436.0,,141.0,,,1359.0,19.0,459.0,,265.0,95.0
82,91.0,48.0,1187.0,131.0,46.0,16.0,424.0,,143.0,,,1257.0,17.0,449.0,,360.0,107.0
83,92.0,56.0,1334.0,183.0,52.0,33.0,380.0,572.0,161.0,,,1412.0,35.0,402.0,606.0,323.0,145.0
84,93.0,47.0,1520.0,267.0,58.0,40.0,594.0,619.0,181.0,,,1631.0,43.0,637.0,664.0,372.0,118.0
85,94.0,55.0,1551.0,240.0,72.0,37.0,481.0,731.0,145.0,,,1642.0,39.0,509.0,774.0,312.0,137.0
86,95.0,74.0,1414.0,205.0,64.0,34.0,524.0,687.0,190.0,,,1517.0,36.0,562.0,737.0,293.0,88.0
87,96.0,100.0,1384.0,226.0,64.0,37.0,532.0,653.0,147.0,,,1465.0,39.0,563.0,691.0,251.0,151.0
88,97.0,88.0,1299.0,246.0,61.0,18.0,585.0,661.0,129.0,104.0,,1384.0,19.0,623.0,704.0,227.0,123.0
89,99.0,76.0,1355.0,179.0,79.0,23.0,452.0,622.0,164.0,,,1435.0,24.0,479.0,659.0,237.0,129.0
90,100.0,69.0,1325.0,140.0,77.0,17.0,457.0,572.0,108.0,,,1731.0,22.0,597.0,747.0,240.0,116.0
91,101.0,66.0,1400.0,165.0,72.0,28.0,414.0,561.0,169.0,,,1632.0,33.0,483.0,654.0,238.0,129.0
92,102.0,66.0,1447.0,179.0,92.0,25.0,410.0,520.0,94.0,104.0,,1542.0,27.0,437.0,554.0,255.0,133.0
93,103.0,84.0,1653.0,221.0,106.0,65.0,399.0,498.0,100.0,106.0,,1750.0,69.0,422.0,527.0,211.0,129.0
94,104.0,56.0,1435.0,172.0,77.0,34.0,410.0,478.0,71.0,69.0,,1519.0,36.0,434.0,506.0,228.0,128.0
95,105.0,57.0,1531.0,224.0,61.0,34.0,451.0,425.0,60.0,84.0,,1611.0,36.0,474.0,447.0,242.0,165.0
96,106.0,56.0,1435.0,205.0,55.0,26.0,375.0,478.0,78.0,72.0,,1519.0,28.0,397.0,506.0,178.0,163.0
97,107.0,74.0,1659.0,275.0,74.0,43.0,429.0,402.0,82.0,76.0,,1757.0,46.0,454.0,426.0,234.0,154.0
98,108.0,70.0,1539.0,223.0,66.0,17.0,454.0,371.0,86.0,,,1640.0,18.0,484.0,395.0,222.0,160.0
99,109.0,63.0,1576.0,227.0,64.0,39.0,364.0,382.0,105.0,,,1658.0,41.0,383.0,402.0,243.0,137.0
100,110.0,53.0,1524.0,255.0,43.0,55.0,473.0,399.0,64.0,,,1614.0,58.0,501.0,422.0,204.0,149.0
101,111.0,59.0,1558.0,265.0,81.0,35.0,429.0,454.0,68.0,,,1639.0,37.0,451.0,478.0,215.0,154.0
102,112.0,74.0,1581.0,259.0,82.0,69.0,349.0,418.0,73.0,,,1663.0,73.0,367.0,440.0,187.0,176.0
103,113.0,67.0,1438.0,232.0,62.0,36.0,387.0,452.0,48.0,,,1513.0,38.0,407.0,475.0,176.0,148.0
104,114.0,81.0,1536.0,276.0,56.0,66.0,365.0,522.0,38.0,,,1616.0,69.0,384.0,549.0,160.0,153.0
105,115.0,87.0,1389.0,228.0,59.0,57.0,343.0,450.0,26.0,,,1461.0,60.0,361.0,473.0,137.0,156.0
106,116.0,84.0,1566.0,250.0,47.0,89.0,402.0,472.0,32.0,,,1680.0,95.0,431.0,506.0,181.0,129.0
107,117.0,40.0,1478.0,247.0,35.0,79.0,374.0,462.0,21.0,,,1565.0,84.0,396.0,489.0,209.0,107.0
108,118.0,75.0,1525.0,218.0,47.0,70.0,455.0,612.0,24.0,,,1604.0,74.0,479.0,644.0,199.0,184.0
109,119.0,84.0,1348.0,213.0,44.0,67.0,517.0,754.0,48.0,,,1437.0,71.0,551.0,804.0,167.0,136.0
110,121.0,68.0,1497.0,213.0,42.0,60.0,393.0,530.0,44.0,,,1606.0,64.0,422.0,569.0,194.0,191.0
111,122.0,69.0,1456.0,233.0,53.0,63.0,428.0,619.0,51.0,,,1552.0,67.0,456.0,660.0,195.0,180.0
112,124.0,65.0,1331.0,230.0,21.0,74.0,519.0,555.0,54.0,,,1457.0,81.0,568.0,608.0,152.0,151.0
113,125.0,72.0,1284.0,214.0,38.0,41.0,497.0,645.0,59.0,,,1360.0,43.0,526.0,683.0,188.0,147.0
114,126.0,68.0,1366.0,263.0,41.0,83.0,480.0,535.0,39.0,,,1437.0,87.0,505.0,563.0,191.0,168.0
115,127.0,71.0,1549.0,244.0,27.0,108.0,554.0,544.0,87.0,,,1651.0,115.0,590.0,580.0,206.0,171.0
116,128.0,86.0,1458.0,252.0,51.0,47.0,591.0,496.0,64.0,,,1544.0,50.0,626.0,525.0,179.0,137.0
117,129.0,90.0,1519.0,279.0,44.0,89.0,587.0,526.0,61.0,,,1598.0,94.0,617.0,553.0,161.0,130.0
118,130.0,96.0,1544.0,288.0,52.0,101.0,710.0,568.0,46.0,,,1635.0,107.0,752.0,601.0,151.0,140.0
119,131.0,79.0,1447.0,259.0,35.0,108.0,720.0,690.0,29.0,,,1522.0,114.0,757.0,726.0,157.0,151.0
120,132.0,87.0,1484.0,259.0,38.0,156.0,647.0,648.0,75.0,,,1561.0,164.0,681.0,682.0,191.0,154.0
121,133.0,80.0,1457.0,246.0,39.0,137.0,594.0,649.0,84.0,36.0,,1533.0,144.0,625.0,683.0,153.0,165.0
122,134.0,68.0,1285.0,198.0,33.0,116.0,511.0,753.0,61.0,36.0,,1361.0,123.0,541.0,797.0,162.0,151.0
123,136.0,94.0,1467.0,228.0,43.0,146.0,495.0,651.0,57.0,33.0,,1543.0,154.0,521.0,685.0,122.0,180.0
124,137.0,89.0,1449.0,230.0,58.0,191.0,530.0,773.0,44.0,28.0,,1524.0,201.0,558.0,813.0,160.0,163.0
125,139.0,100.0,1545.0,232.0,65.0,209.0,485.0,767.0,37.0,17.0,,1625.0,220.0,510.0,807.0,126.0,182.0
126,141.0,89.0,1481.0,224.0,37.0,184.0,507.0,794.0,43.0,15.0,,1538.0,191.0,527.0,825.0,128.0,143.0
127,142.0,93.0,1465.0,208.0,50.0,179.0,487.0,834.0,73.0,39.0,,1541.0,188.0,512.0,877.0,146.0,144.0
128,143.0,87.0,1436.0,209.0,36.0,198.0,562.0,926.0,74.0,45.0,,1511.0,208.0,591.0,974.0,117.0,160.0
129,144.0,86.0,1376.0,204.0,38.0,181.0,581.0,975.0,57.0,27.0,,1376.0,181.0,581.0,975.0,123.0,154.0
130,145.0,84.0,1345.0,204.0,39.0,139.0,525.0,954.0,75.0,52.0,,1345.0,139.0,525.0,954.0,129.0,161.0
131,146.0,88.0,1522.0,274.0,32.0,159.0,486.0,825.0,53.0,41.0,,1522.0,159.0,486.0,825.0,143.0,139.0
132,147.0,86.0,1419.0,243.0,28.0,196.0,408.0,976.0,64.0,37.0,,1419.0,196.0,408.0,976.0,140.0,145.0
133,148.0,85.0,1476.0,220.0,32.0,207.0,512.0,913.0,59.0,47.0,,1476.0,207.0,512.0,913.0,154.0,139.0
134,149.0,77.0,1307.0,191.0,29.0,158.0,512.0,947.0,55.0,45.0,,1307.0,158.0,512.0,947.0,138.0,148.0
135,150.0,81.0,1399.0,179.0,31.0,80.0,414.0,782.0,83.0,44.0,,1399.0,80.0,414.0,782.0,125.0,139.0
136,152.0,76.0,1495.0,215.0,24.0,160.0,522.0,736.0,58.0,34.0,,1495.0,160.0,522.0,736.0,140.0,118.0
137,154.0,74.0,1434.0,196.0,18.0,151.0,560.0,810.0,49.0,37.0,,1508.0,159.0,589.0,852.0,164.0,137.0
138,155.0,76.0,1506.0,220.0,34.0,207.0,612.0,875.0,85.0,40.0,,1515.0,208.0,616.0,880.0,167.0,143.0
139,156.0,88.0,1375.0,202.0,37.0,120.0,571.0,772.0,72.0,44.0,,1375.0,120.0,571.0,772.0,132.0,161.0
140,157.0,67.0,1331.0,180.0,28.0,108.0,546.0,764.0,55.0,38.0,,1339.0,109.0,549.0,769.0,176.0,148.0
141,158.0,70.0,1309.0,170.0,30.0,82.0,589.0,811.0,74.0,61.0,,1309.0,82.0,589.0,811.0,167.0,151.0
142,159.0,61.0,1404.0,218.0,20.0,139.0,537.0,876.0,82.0,53.0,,1404.0,139.0,537.0,876.0,175.0,127.0
143,160.0,69.0,1313.0,191.0,39.0,123.0,550.0,874.0,90.0,65.0,,1313.0,123.0,550.0,874.0,153.0,126.0
144,161.0,67.0,1406.0,223.0,28.0,128.0,496.0,828.0,99.0,51.0,,1424.0,130.0,502.0,838.0,185.0,141.0
145,162.0,82.0,1360.0,227.0,22.0,145.0,437.0,905.0,73.0,52.0,,1368.0,146.0,440.0,911.0,163.0,157.0
146,163.0,76.0,1354.0,226.0,34.0,98.0,491.0,825.0,150.0,60.0,,2069.0,150.0,750.0,1261.0,156.0,142.0
147,164.0,89.0,1411.0,215.0,22.0,146.0,554.0,869.0,151.0,77.0,,1411.0,146.0,554.0,869.0,137.0,186.0
148,165.0,88.0,1489.0,218.0,45.0,130.0,582.0,847.0,146.0,88.0,,1489.0,130.0,582.0,847.0,137.0,176.0
149,166.0,80.0,1338.0,234.0,27.0,111.0,555.0,896.0,140.0,85.0,,1338.0,111.0,555.0,896.0,139.0,153.0
150,167.0,66.0,1359.0,213.0,28.0,126.0,553.0,849.0,72.0,52.0,,1359.0,126.0,553.0,849.0,159.0,197.0
151,168.0,72.0,1356.0,242.0,24.0,139.0,541.0,910.0,94.0,76.0,,1364.0,140.0,544.0,916.0,142.0,182.0
152,169.0,69.0,1410.0,286.0,24.0,153.0,645.0,839.0,136.0,68.0,,1419.0,154.0,649.0,844.0,117.0,171.0
153,170.0,55.0,1335.0,231.0,28.0,97.0,437.0,859.0,96.0,70.0,,1352.0,98.0,442.0,870.0,153.0,140.0
154,172.0,65.0,1376.0,263.0,26.0,162.0,473.0,1010.0,92.0,55.0,,1376.0,162.0,473.0,1010.0,158.0,133.0
155,173.0,94.0,1407.0,255.0,30.0,141.0,563.0,906.0,165.0,76.0,,1407.0,141.0,563.0,906.0,138.0,122.0
156,174.0,98.0,1391.0,223.0,48.0,138.0,493.0,924.0,126.0,60.0,,1391.0,138.0,493.0,924.0,109.0,121.0
157,175.0,104.0,1444.0,239.0,29.0,169.0,560.0,946.0,125.0,48.0,,1444.0,169.0,560.0,946.0,108.0,146.0
158,176.0,97.0,1465.0,281.0,26.0,195.0,536.0,949.0,68.0,44.0,,2082.0,277.0,762.0,1349.0,115.0,121.0
159,177.0,101.0,1352.0,236.0,30.0,189.0,585.0,1050.0,82.0,48.0,,1521.0,213.0,658.0,1181.0,113.0,127.0
160,178.0,96.0,1514.0,264.0,28.0,197.0,530.0,1032.0,83.0,43.0,,1514.0,197.0,530.0,1032.0,130.0,143.0
161,179.0,101.0,1490.0,268.0,37.0,174.0,597.0,1160.0,108.0,58.0,,1490.0,174.0,597.0,1160.0,114.0,136.0
162,180.0,106.0,1489.0,297.0,26.0,215.0,548.0,1062.0,98.0,43.0,,1489.0,215.0,548.0,1062.0,91.0,139.0
163,181.0,103.0,1481.0,309.0,23.0,197.0,608.0,962.0,148.0,66.0,,1481.0,197.0,608.0,962.0,111.0,122.0
164,182.0,95.0,1490.0,274.0,26.0,179.0,595.0,1010.0,148.0,56.0,59.0,1490.0,179.0,595.0,1010.0,129.0,138.0
165,183.0,88.0,1432.0,263.0,24.0,174.0,493.0,1039.0,85.0,46.0,45.0,1432.0,174.0,493.0,1039.0,103.0,133.0
166,185.0,101.0,1608.0,321.0,31.0,235.0,545.0,933.0,68.0,22.0,49.0,1608.0,235.0,545.0,933.0,121.0,166.0
167,186.0,96.0,1503.0,304.0,37.0,178.0,587.0,1158.0,86.0,32.0,59.0,1503.0,178.0,587.0,1158.0,116.0,171.0
168,187.0,90.0,1453.0,308.0,37.0,184.0,534.0,1084.0,92.0,32.0,45.0,1453.0,184.0,534.0,1084.0,86.0,170.0
169,188.0,79.0,1510.0,312.0,26.0,222.0,526.0,1169.0,52.0,35.0,52.0,1510.0,222.0,526.0,1169.0,99.0,146.0
170,189.0,57.0,1478.0,227.0,78.0,31.0,384.0,454.0,208.0,,,1748.0,37.0,454.0,537.0,465.0,125.0
171,190.0,93.0,1494.0,248.0,73.0,35.0,444.0,390.0,163.0,,,1780.0,42.0,529.0,465.0,326.0,145.0
172,191.0,76.0,1320.0,193.0,79.0,14.0,316.0,628.0,118.0,,,1538.0,16.0,368.0,732.0,312.0,110.0
173,192.0,69.0,1349.0,163.0,56.0,11.0,354.0,649.0,160.0,,,1438.0,12.0,377.0,692.0,285.0,83.0
174,194.0,83.0,1353.0,158.0,65.0,22.0,398.0,,240.0,,,1471.0,24.0,433.0,,314.0,87.0
175,195.0,74.0,1411.0,164.0,67.0,11.0,394.0,,153.0,,,1504.0,12.0,420.0,,284.0,103.0
176,196.0,88.0,1344.0,184.0,55.0,21.0,366.0,,134.0,,,1432.0,22.0,390.0,,253.0,103.0
177,197.0,66.0,1243.0,125.0,49.0,11.0,357.0,,147.0,,,1342.0,12.0,386.0,,288.0,116.0
178,198.0,49.0,1162.0,138.0,63.0,13.0,437.0,,178.0,,,1222.0,14.0,460.0,,405.0,119.0
179,199.0,48.0,1270.0,199.0,67.0,18.0,490.0,,133.0,,,1354.0,19.0,522.0,,382.0,111.0
180,200.0,56.0,1328.0,175.0,75.0,20.0,472.0,,185.0,,,1397.0,21.0,497.0,,358.0,134.0
181,201.0,60.0,1263.0,190.0,77.0,19.0,482.0,814.0,221.0,,,1337.0,20.0,510.0,862.0,319.0,132.0
182,202.0,75.0,1314.0,196.0,79.0,18.0,448.0,914.0,247.0,200.0,,1391.0,19.0,474.0,968.0,336.0,121.0
183,203.0,66.0,1320.0,175.0,68.0,20.0,497.0,805.0,212.0,168.0,,1389.0,21.0,523.0,847.0,353.0,151.0
184,204.0,83.0,1328.0,190.0,53.0,15.0,660.0,673.0,246.0,,,1397.0,16.0,694.0,708.0,261.0,126.0
185,205.0,60.0,1315.0,193.0,66.0,16.0,426.0,568.0,165.0,,,1383.0,17.0,448.0,598.0,296.0,146.0
186,206.0,77.0,1381.0,202.0,53.0,7.0,527.0,451.0,183.0,,,1834.0,9.0,700.0,599.0,252.0,114.0
187,207.0,78.0,1438.0,218.0,85.0,36.0,456.0,516.0,86.0,,,1676.0,42.0,531.0,601.0,249.0,114.0
188,208.0,80.0,1748.0,295.0,88.0,53.0,452.0,359.0,125.0,84.0,,1851.0,56.0,479.0,380.0,245.0,126.0
189,209.0,85.0,1741.0,259.0,112.0,70.0,434.0,428.0,97.0,75.0,,1831.0,74.0,457.0,450.0,236.0,134.0
190,210.0,98.0,1781.0,306.0,99.0,103.0,498.0,401.0,139.0,77.0,,1874.0,108.0,524.0,422.0,206.0,166.0
191,211.0,79.0,1587.0,264.0,66.0,87.0,471.0,451.0,68.0,58.0,,1691.0,93.0,502.0,481.0,188.0,155.0
192,212.0,79.0,1645.0,284.0,66.0,71.0,496.0,372.0,91.0,91.0,,1753.0,76.0,529.0,396.0,188.0,150.0
193,214.0,65.0,1524.0,266.0,82.0,76.0,460.0,489.0,65.0,75.0,,1603.0,80.0,484.0,514.0,240.0,176.0
194,215.0,62.0,1525.0,277.0,62.0,58.0,469.0,445.0,96.0,70.0,,1615.0,61.0,497.0,471.0,263.0,176.0
195,216.0,86.0,1505.0,290.0,80.0,66.0,576.0,504.0,80.0,45.0,,1583.0,69.0,606.0,530.0,194.0,154.0
196,218.0,67.0,1489.0,304.0,70.0,79.0,523.0,579.0,98.0,75.0,,1566.0,83.0,550.0,609.0,199.0,160.0
197,219.0,66.0,1531.0,302.0,65.0,80.0,513.0,610.0,77.0,84.0,,1611.0,84.0,540.0,642.0,243.0,168.0
198,220.0,66.0,1580.0,288.0,73.0,70.0,533.0,555.0,73.0,65.0,,1662.0,74.0,561.0,584.0,197.0,164.0
199,221.0,59.0,1434.0,262.0,69.0,69.0,558.0,597.0,77.0,64.0,,1538.0,74.0,599.0,640.0,161.0,174.0
